id_row,Country Code ISO3,Trade,Year,Amount,Product Classification EN,Country,Region,Latitude,Longitude
74,NA,Export,2022,0.0,Mineral Products,Canary Islands,Europe,0.0,0.0
75,NA,Import,2022,0.0,Mineral Products,Canary Islands,Europe,0.0,0.0
76,NA,Export,2022,0.0,Mineral Products,Ceuta and Melilla,Africa,0.0,0.0
77,NA,Import,2022,0.0,Mineral Products,Ceuta and Melilla,Africa,0.0,0.0
78,NA,Import,2022,0.0,Mineral Products,Ceuta and Melilla,Africa,0.0,0.0
79,NA,Import,2022,0.0,Mineral Products,Ceuta and Melilla,Africa,0.0,0.0
80,NA,Export,2022,0.0,Mineral Products,Melilla,Africa,0.0,0.0
81,NA,Import,2022,0.0,Mineral Products,Melilla,Africa,0.0,0.0
82,NA,Export,2022,0.0,Products of chemical or Allied Industries,Canary Islands,Europe,0.0,0.0
83,NA,Import,2022,0.0,Products of chemical or Allied Industries,Canary Islands,Europe,0.0,0.0
84,NA,Export,2022,0.0,Products of chemical or Allied Industries,Ceuta and Melilla,Africa,0.0,0.0
85,NA,Import,2022,0.0,Products of chemical or Allied Industries,Ceuta and Melilla,Africa,0.0,0.0
86,NA,Import,2022,0.0,Products of chemical or Allied Industries,Ceuta and Melilla,Africa,0.0,0.0
87,NA,Import,2022,0.0,Products of chemical or Allied Industries,Ceuta and Melilla,Africa,0.0,0.0
88,NA,Export,2022,0.0,Products of chemical or Allied Industries,Melilla,Africa,0.0,0.0
89,NA,Import,2022,0.0,Products of chemical or Allied Industries,Melilla,Africa,0.0,0.0
90,NA,Export,2022,0.0,Plastics and Rubber,Canary Islands,Europe,0.0,0.0
91,NA,Import,2022,0.0,Plastics and Rubber,Canary Islands,Europe,0.0,0.0
92,NA,Export,2022,0.0,Plastics and Rubber,Ceuta and Melilla,Africa,0.0,0.0
93,NA,Import,2022,0.0,Plastics and Rubber,Ceuta and Melilla,Africa,0.0,0.0
94,NA,Import,2022,0.0,Plastics and Rubber,Ceuta and Melilla,Africa,0.0,0.0
95,NA,Import,2022,0.0,Plastics and Rubber,Ceuta and Melilla,Africa,0.0,0.0
96,NA,Export,2022,0.0,Plastics and Rubber,Melilla,Africa,0.0,0.0
97,NA,Import,2022,0.0,Plastics and Rubber,Melilla,Africa,0.0,0.0
98,NA,Export,2022,0.0,"Travel Goods, Handbags, Leather",Canary Islands,Europe,0.0,0.0
99,NA,Import,2022,0.0,"Travel Goods, Handbags, Leather",Canary Islands,Europe,0.0,0.0
100,NA,Export,2022,0.0,"Travel Goods, Handbags, Leather",Ceuta and Melilla,Africa,0.0,0.0
101,NA,Import,2022,0.0,"Travel Goods, Handbags, Leather",Ceuta and Melilla,Africa,0.0,0.0
102,NA,Import,2022,0.0,"Travel Goods, Handbags, Leather",Ceuta and Melilla,Africa,0.0,0.0
103,NA,Import,2022,0.0,"Travel Goods, Handbags, Leather",Ceuta and Melilla,Africa,0.0,0.0
104,NA,Export,2022,0.0,"Travel Goods, Handbags, Leather",Melilla,Africa,0.0,0.0
105,NA,Import,2022,0.0,"Travel Goods, Handbags, Leather",Melilla,Africa,0.0,0.0
106,NA,Export,2022,0.0,"Wood, Cork, Wood Charcoal",Canary Islands,Europe,0.0,0.0
107,NA,Import,2022,0.0,"Wood, Cork, Wood Charcoal",Canary Islands,Europe,0.0,0.0
108,NA,Export,2022,0.0,"Wood, Cork, Wood Charcoal",Ceuta and Melilla,Africa,0.0,0.0
109,NA,Import,2022,0.0,"Wood, Cork, Wood Charcoal",Ceuta and Melilla,Africa,0.0,0.0
110,NA,Import,2022,0.0,"Wood, Cork, Wood Charcoal",Ceuta and Melilla,Africa,0.0,0.0
111,NA,Import,2022,0.0,"Wood, Cork, Wood Charcoal",Ceuta and Melilla,Africa,0.0,0.0
112,NA,Export,2022,0.0,"Wood, Cork, Wood Charcoal",Melilla,Africa,0.0,0.0
113,NA,Import,2022,0.0,"Wood, Cork, Wood Charcoal",Melilla,Africa,0.0,0.0
114,NA,Export,2022,0.0,"Pulp of Wood, Paper",Canary Islands,Europe,0.0,0.0
115,NA,Import,2022,0.0,"Pulp of Wood, Paper",Canary Islands,Europe,0.0,0.0
116,NA,Export,2022,0.0,"Pulp of Wood, Paper",Ceuta and Melilla,Africa,0.0,0.0
117,NA,Import,2022,0.0,"Pulp of Wood, Paper",Ceuta and Melilla,Africa,0.0,0.0
118,NA,Import,2022,0.0,"Pulp of Wood, Paper",Ceuta and Melilla,Africa,0.0,0.0
119,NA,Import,2022,0.0,"Pulp of Wood, Paper",Ceuta and Melilla,Africa,0.0,0.0
120,NA,Export,2022,0.0,"Pulp of Wood, Paper",Melilla,Africa,0.0,0.0
121,NA,Import,2022,0.0,"Pulp of Wood, Paper",Melilla,Africa,0.0,0.0
122,NA,Export,2022,0.0,Textiles,Canary Islands,Europe,0.0,0.0
123,NA,Import,2022,0.0,Textiles,Canary Islands,Europe,0.0,0.0
124,NA,Export,2022,0.0,Textiles,Ceuta and Melilla,Africa,0.0,0.0
