id_row,Date,New Business Type,Loan Type,Loan Duration,Other,Rate,Amount
969,201005,Non financial corporations,Deposits with agreed maturity,Up to 1 year  initial maturity,NA,0.389999985694885,18265.0
970,201005,Non financial corporations,Loans,Floating rate and up to 1 year initial rate fixation,Over 1 million euro,2.05999994277954,7054.0
971,201005,Households,Loans for house purchase,Over 10 years initial rate fixation,NA,0.0,0.0
972,201005,Non financial corporations,Loans,Floating rate and up to 1 year initial rate fixation,Up to 1 million euro,2.58999991416931,1040.0
973,201005,Households,Loans for consumption,Over 5 years,NA,4.8899998664856,8.0
974,201005,Households,Loans for house purchase,Floating rate and up to 1 year initial rate fixation,NA,2.0,224.0
975,201005,Households,Deposits with agreed maturity,Up to 1 year  initial maturity,NA,0.419999986886978,1431.0
976,201005,Households,Loans for house purchase,Over 1 and up to 5 years initial rate fixation,NA,0.0,0.0
977,201005,Households,Loans for other purposes,Floating rate and up to 1 year initial rate fixation,NA,1.75999999046326,1419.0
978,201005,Households,Loans for consumption,Over 1 and up to 5 years initial rate fixation,NA,4.3899998664856,39.0
979,201006,Households,Loans for house purchase,Over 10 years initial rate fixation,NA,0.0,0.0
980,201006,Non financial corporations,Loans,Floating rate and up to 1 year initial rate fixation,Up to 1 million euro,2.71000003814697,1621.0
981,201006,Households,Loans for house purchase,Over 1 and up to 5 years initial rate fixation,NA,0.0,0.0
